exporter	moran_rpop
ABW	0.007401538767754453
AFG	0.0004273481231147805
AGO	0.0059796857446103545
ALB	0.0209525830016544
ARE	0.011188845350186591
ARG	0.016689847453988993
ARM	0.004931473225199548
AUS	0.0159717654716571
AUT	0.014192144764150804
AZE	0.007364317578004518
BEL	0.003805081472184341
BEN	0.0015625482270061153
BFA	0.00196460034410279
BGD	0.0337790153903744
BGR	0.01863700549169673
BHR	0.013553885396046864
BHS	0.01040302153987127
BIH	0.016626042909988474
BLR	0.005471980972561143
BMU	0.004821664197599293
BOL	0.009917764465549296
BRA	0.006072865271522186
BRN	0.006801578413425952
BWA	0.006249171384670287
CAN	0.019513742960162055
CHE	0.016783934421158334
CHL	0.014676107303882807
CHN	0.016821574302508763
CIV	0.011830989565662352
CMR	0.006101385898127812
COD	0.007578207792852862
COG	0.004791562496026733
COL	0.0035855043609414263
CRI	0.015573131262870068
CUB	0.0006481532401698157
CUW	0.007115711610552721
CYP	0.0067245870867232976
CZE	0.014654762136282234
DEU	0.0117102330942038
DJI	0.0061904862755809845
DNK	0.02191826527208839
DOM	0.020393958425679183
DZA	0.003951194689207308
ECU	0.012407538618740261
EGY	0.008930218702117134
ESP	0.017672645769332085
EST	0.01836735128168037
ETH	0.004585511236053392
FIN	0.014619312431061513
FJI	0.018930163711374907
FRA	0.011313361303961262
GAB	0.007190791721727138
GBR	0.013663538706867628
GEO	0.007417695875854652
GHA	0.007363042592240343
GIB	0.005395491121477395
GIN	0.0013059157326800967
GNQ	0.0073406458523214545
GRC	0.024300802125726623
GTM	0.019044194326316554
GUY	0.011079257202302075
HKG	0.022440428135405734
HND	0.02270931310961011
HRV	0.01705883846475681
HTI	0.005552103492798894
HUN	0.01609232176255906
IDN	0.01171098020052048
IND	0.001475826023806038
IRL	0.012752794341006849
IRN	0.013762741036425092
IRQ	0.0020857727631274875
ISL	0.010952927526688368
ISR	0.0065580318029573184
ITA	0.014767481524855417
JAM	0.009852965123750692
JOR	0.01690266335474559
JPN	0.03800922107512643
KAZ	0.015378004425495901
KEN	0.003412453877472462
KGZ	0.006174166093055957
KHM	0.03645664264739181
KOR	0.02576978152284632
KWT	0.011779578695072004
LAO	0.007947876575804437
LBN	0.013737515907625814
LBR	0.004959198886156705
LBY	0.007963443040372073
LKA	0.025433287906603243
LTU	0.02673355793568011
LUX	0.01132362472789534
LVA	0.021980670026847567
MAC	0.01717283630189745
MAR	0.02066670018522557
MDA	0.02232777731993949
MDG	0.0017055538134591612
MEX	0.008905583548821762
MHL	0.008276986941066478
MKD	0.024112874836966464
MLI	0.0037321027680994063
MLT	0.010272604734364116
MMR	0.0041471652244384335
MNE	0.014581114418371085
MNG	0.007273961274777181
MOZ	0.005364581675169805
MRT	0.00735691472095108
MUS	0.02117624642734396
MWI	0.0029409174896802186
MYS	0.008749133572447026
NAM	0.010812858333968287
NCL	0.007151856803246579
NER	-0.0005716872114652066
NGA	0.0040647674180674465
NIC	0.021093458999153946
NLD	0.00630235129840126
NOR	0.017598231925363327
NPL	-0.0006664861254315723
NZL	0.015899962296306323
OMN	0.016513247486951158
PAK	0.010821351118492748
PAN	0.010591853094404259
PER	0.016115288057725236
PHL	0.0025814695548217782
PNG	0.006493158279631989
POL	0.019156743231496968
PRK	0.0005474255707207669
PRT	0.02527428217880276
PRY	0.011235345533818074
PSE	0.00646717016430509
QAT	0.011836267044382391
ROU	0.016523130036288556
RUS	0.01637960792072117
SAU	0.013184385825251272
SDN	0.004478869397318249
SEN	0.00677099239144405
SGP	0.021453745804066785
SLV	0.028344034285890676
SRB	0.017062793707062804
SUR	0.009806607390468217
SVK	0.016040569245369635
SVN	0.01617383740909565
SWE	0.017972041902691995
SWZ	0.011758230131858251
SYR	0.011392939003342116
TCD	0.0008269505627629184
TGO	0.005973862316256408
THA	0.0064549847375682395
TJK	0.0023759554916894655
TKM	0.005343025985868795
TTO	0.018742521469068952
TUN	0.021480906600507114
TUR	0.020031292940341488
TZA	0.0030224189768109856
UGA	0.0030731187680092466
UKR	0.014116886863268169
URY	0.010111178661707713
USA	0.017080593927207892
UZB	0.006920029175995501
VEN	0.011366070407843269
VGB	0.0053418945559365275
VNM	0.022263336959105744
YEM	0.00350748303467056
ZAF	0.01376739725175718
ZMB	0.006277703711508893
ZWE	0.0072886172657900495
